2023-10-17 at 15:28:27 | INFO | Creating the Mismatch Database
2023-10-17 at 15:28:46 | INFO | Created: /Users/kentcg/schemes/hbv/hbv-500-c/work/mismatch.db
2023-10-17 at 15:28:48 | INFO | Read in MSA: all.align	seqs:2001	cols:4005
2023-10-17 at 15:29:27 | INFO | Creating the Mismatch Database
2023-10-17 at 15:29:47 | INFO | Created: /Users/kentcg/schemes/hbv/hbv-500-c/work/mismatch.db
2023-10-17 at 15:29:49 | INFO | Read in MSA: all.align	seqs:2001	cols:4005
2023-10-17 at 15:31:18 | INFO | all.align: digested to 634 FKmers and 548 RKmers
2023-10-17 at 15:31:19 | INFO | all.align: Generated 7359 possible amplicons
2023-10-17 at 15:31:19 | INFO | Added first amplicon for all.align: 34	609	1
2023-10-17 at 15:31:19 | INFO | Added overlapping amplicon for all.align: 459	1023	2
2023-10-17 at 15:31:19 | INFO | Added overlapping amplicon for all.align: 876	1412	1
2023-10-17 at 15:31:19 | INFO | Added overlapping amplicon for all.align: 1173	1704	2
2023-10-17 at 15:31:19 | INFO | Added overlapping amplicon for all.align: 1579	2138	1
2023-10-17 at 15:31:19 | INFO | Added overlapping amplicon for all.align: 2018	2568	2
2023-10-17 at 15:31:20 | INFO | Added overlapping amplicon for all.align: 2411	2974	1
2023-10-17 at 15:34:34 | INFO | Creating the Mismatch Database
2023-10-17 at 15:34:53 | INFO | Created: /Users/kentcg/schemes/hbv/hbv-500-c/work/mismatch.db
2023-10-17 at 15:34:55 | INFO | Read in MSA: all.align	seqs:2001	cols:4005
2023-10-17 at 15:36:22 | INFO | all.align: digested to 634 FKmers and 548 RKmers
2023-10-17 at 15:36:24 | INFO | all.align: Generated 7359 possible amplicons
2023-10-17 at 15:36:24 | INFO | Added first amplicon for all.align: 34	609	1
2023-10-17 at 15:36:24 | INFO | Added overlapping amplicon for all.align: 459	1023	2
2023-10-17 at 15:36:24 | INFO | Added overlapping amplicon for all.align: 876	1412	1
2023-10-17 at 15:36:24 | INFO | Added overlapping amplicon for all.align: 1173	1704	2
2023-10-17 at 15:36:24 | INFO | Added overlapping amplicon for all.align: 1579	2138	1
2023-10-17 at 15:36:24 | INFO | Added overlapping amplicon for all.align: 2018	2568	2
2023-10-17 at 15:36:24 | INFO | Added overlapping amplicon for all.align: 2411	2974	1
2023-10-17 at 15:36:26 | INFO | Writting output files
2023-10-17 at 15:37:09 | INFO | Creating the Mismatch Database
2023-10-17 at 15:37:29 | INFO | Created: /Users/kentcg/schemes/hbv/hbv-500-c/work/mismatch.db
2023-10-17 at 15:37:31 | INFO | Read in MSA: all.align	seqs:2001	cols:4005
2023-10-17 at 15:37:47 | INFO | Creating the Mismatch Database
2023-10-17 at 15:38:06 | INFO | Created: /Users/kentcg/schemes/hbv/hbv-500-c/work/mismatch.db
2023-10-17 at 15:38:08 | INFO | Read in MSA: all.align	seqs:2001	cols:4005
2023-10-17 at 15:39:37 | INFO | all.align: digested to 634 FKmers and 548 RKmers
2023-10-17 at 15:39:39 | INFO | all.align: Generated 7359 possible amplicons
2023-10-17 at 15:39:39 | INFO | Added first amplicon for all.align: 34	609	1
2023-10-17 at 15:39:39 | INFO | Added overlapping amplicon for all.align: 459	1023	2
2023-10-17 at 15:39:39 | INFO | Added overlapping amplicon for all.align: 876	1412	1
2023-10-17 at 15:39:39 | INFO | Added overlapping amplicon for all.align: 1173	1704	2
2023-10-17 at 15:39:39 | INFO | Added overlapping amplicon for all.align: 1579	2138	1
2023-10-17 at 15:39:39 | INFO | Added overlapping amplicon for all.align: 2018	2568	2
2023-10-17 at 15:39:39 | INFO | Added overlapping amplicon for all.align: 2411	2974	1
2023-10-17 at 15:39:40 | INFO | Writting output files
